TRADEDATE,SECID,OPEN,HIGH,LOW,CLOSE
2023-01-01,TEST,101,111,91,106
2023-01-02,TEST,102,112,92,107
2023-01-03,TEST,103,113,93,108
2023-01-04,TEST,104,114,94,109
2023-01-05,TEST,105,115,95,110
2023-01-06,TEST,106,116,96,111
2023-01-07,TEST,107,117,97,112
2023-01-08,TEST,108,118,98,113
2023-01-09,TEST,109,119,99,114
2023-01-10,TEST,110,120,100,115
2023-01-11,TEST,111,121,101,116
2023-01-12,TEST,112,122,102,117
2023-01-13,TEST,113,123,103,118
2023-01-14,TEST,114,124,104,119
2023-01-15,TEST,115,125,105,120
2023-01-16,TEST,116,126,106,121
2023-01-17,TEST,117,127,107,122
2023-01-18,TEST,118,128,108,123
2023-01-19,TEST,119,129,109,124
2023-01-20,TEST,120,130,110,125
2023-01-21,TEST,121,131,111,126
2023-01-22,TEST,122,132,112,127
2023-01-23,TEST,123,133,113,128
2023-01-24,TEST,124,134,114,129
2023-01-25,TEST,125,135,115,130
2023-01-26,TEST,126,136,116,131
2023-01-27,TEST,127,137,117,132
2023-01-28,TEST,128,138,118,133
2023-01-29,TEST,129,139,119,134
2023-01-30,TEST,130,140,120,135
2023-01-31,TEST,131,141,121,136
2023-01-32,TEST,132,142,122,137
2023-01-33,TEST,133,143,123,138
2023-01-34,TEST,134,144,124,139
2023-01-35,TEST,135,145,125,140
2023-01-36,TEST,136,146,126,141
2023-01-37,TEST,137,147,127,142
2023-01-38,TEST,138,148,128,143
2023-01-39,TEST,139,149,129,144
2023-01-40,TEST,140,150,130,145
